name,oldlabel,label,x,y
Buckinghamshire,11,E10000002,482075.41160739,210255.750921674
Cambridgeshire,12,E10000003,538648.38836746,273216.180007137
Cumbria,16,E10000006,341152.30031026,520430.779304538
Derbyshire,17,E10000007,425855.479397435,360558.678680538
Devon,18,E10000008,272357.572520568,97242.4405578573
Dorset,19,E10000009,377363.236584129,100706.434340756
East Sussex,21,E10000011,560021.937355525,118243.594422869
Essex,22,E10000012,578103.374552122,214721.191663119
Gloucestershire,23,E10000013,391352.575835295,214105.327383453
Hampshire,24,E10000014,450007.059807888,129629.353798971
Hertfordshire,26,E10000015,522937.464840751,216062.615758825
Kent,29,E10000016,591128.377021969,150633.510660065
Lancashire,30,E10000017,358541.486245274,439490.533855795
Leicestershire,31,E10000018,460027.823719607,308130.820346719
Lincolnshire,32,E10000019,518049.013116869,358642.881541605
Norfolk,33,E10000020,599376.665552601,312674.587588135
Northamptonshire,34,E10000021,477426.847642033,268311.16713302
North Yorkshire,36,E10000023,438021.999428018,477364.241106714
Nottinghamshire,37,E10000024,466549.762403469,360014.257632699
Oxfordshire,38,E10000025,446887.803497237,207631.768721502
Somerset,40,E10000027,334151.416485217,134017.003890495
Staffordshire,41,E10000028,397924.76351081,328217.792997507
Suffolk,42,E10000029,609317.794854129,262299.108751629
Surrey,43,E10000030,510332.299127428,151046.173622208
Warwickshire,44,E10000031,430119.897779499,266991.824287325
West Sussex,45,E10000032,505794.218077213,118466.937182033
Worcestershire,47,E10000034,388549.500404639,258385.320551756
