Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,
E12000001,North East,E06000047,County Durham,:,:,:,:,:,:,5.12,4.68,4.84,4.38,4.20,4.36,4.46,4.45,4.44,4.44,4.38,,,,,,,,,
E12000001,North East,E06000005,Darlington,3.42,4.06,5.12,5.97,5.94,5.49,5.88,5.46,5.45,5.16,5.26,5.34,4.76,5.18,4.84,4.96,5.29,,,,,,,,,
E12000001,North East,E06000001,Hartlepool,2.86,3.02,2.82,2.86,4.14,4.63,4.70,3.98,4.75,4.32,3.98,4.79,4.69,4.74,4.62,4.82,4.57,,,,,,,,,
E12000001,North East,E06000002,Middlesbrough,2.83,2.65,3.74,4.23,5.17,5.40,4.58,5.17,5.12,4.98,4.62,4.98,5.28,5.05,5.25,5.18,5.21,,,,,,,,,
E12000001,North East,E06000057,Northumberland,:,:,:,:,:,:,6.39,5.58,5.76,5.49,5.59,5.46,5.86,6.17,5.95,5.90,6.01,,,,,,,,,
E12000001,North East,E06000003,Redcar and Cleveland,2.83,3.96,4.37,4.67,5.66,5.52,5.71,4.98,5.57,4.74,5.19,4.80,4.90,5.00,5.33,5.12,5.32,,,,,,,,,
E12000001,North East,E06000004,Stockton-on-Tees,3.33,4.03,4.54,4.99,5.53,5.64,5.44,5.00,5.32,4.95,5.07,4.79,5.09,5.07,4.86,5.37,5.42,,,,,,,,,
E12000001,North East,E08000037,Gateshead,3.36,4.26,5.12,5.24,6.06,5.98,5.73,5.42,5.20,5.11,4.76,5.07,4.98,5.21,5.19,5.04,5.23,,,,,,,,,
E12000001,North East,E08000021,Newcastle upon Tyne,3.94,4.85,6.11,5.95,6.54,6.82,6.52,5.98,6.28,6.13,5.61,5.66,5.56,5.68,5.83,5.84,5.94,,,,,,,,,
E12000001,North East,E08000022,North Tyneside,3.45,4.60,5.59,5.98,6.32,6.43,5.93,5.38,5.90,5.52,5.57,5.67,5.86,6.02,5.94,5.92,5.88,,,,,,,,,
E12000001,North East,E08000023,South Tyneside,2.70,3.17,4.58,5.02,5.20,5.59,5.30,4.75,5.04,4.70,4.56,4.76,5.02,5.31,5.56,5.27,5.46,,,,,,,,,
E12000001,North East,E08000024,Sunderland,3.31,3.93,4.88,5.16,5.36,5.45,5.39,4.87,4.92,4.75,4.77,4.64,4.76,4.87,4.77,5.02,4.98,,,,,,,,,
E12000002,North West,E06000008,Blackburn with Darwen,2.38,2.68,3.24,3.74,4.09,4.50,4.99,4.24,4.28,4.40,4.46,4.39,4.29,4.88,4.57,4.62,5.13,,,,,,,,,
E12000002,North West,E06000009,Blackpool,3.51,3.94,5.11,5.74,6.19,6.06,6.16,5.17,5.65,5.14,4.92,4.73,5.05,4.76,4.90,4.86,4.84,,,,,,,,,
E12000002,North West,E06000049,Cheshire East,:,:,:,:,:,:,6.62,5.98,6.73,6.43,6.34,6.33,6.50,6.90,7.02,7.50,7.72,,,,,,,,,
E12000002,North West,E06000050,Cheshire West and Chester,:,:,:,:,:,:,6.26,5.57,5.72,5.99,5.86,5.89,6.07,6.37,6.42,6.70,6.65,,,,,,,,,
E12000002,North West,E06000006,Halton,3.17,4.10,4.58,5.60,5.83,5.38,5.25,5.19,5.47,4.96,4.83,4.80,4.96,5.01,5.34,5.24,5.09,,,,,,,,,
E12000002,North West,E06000007,Warrington,4.39,4.86,5.82,6.00,5.43,6.13,5.49,5.32,5.66,5.70,5.58,5.83,5.95,5.81,5.99,6.21,5.86,,,,,,,,,
E12000002,North West,E07000026,Allerdale,3.05,3.69,4.60,4.76,5.46,6.11,5.75,5.45,5.32,5.78,5.73,5.45,5.25,5.62,4.87,5.31,5.49,,,,,,,,,
E12000002,North West,E07000027,Barrow-in-Furness,2.27,2.50,2.99,3.52,3.69,4.05,4.13,3.79,3.92,3.84,3.68,3.62,3.38,4.23,4.44,3.96,3.64,,,,,,,,,
E12000002,North West,E07000028,Carlisle,3.08,3.89,4.74,5.01,5.54,5.71,5.51,5.59,5.57,5.46,5.47,5.41,5.61,5.44,5.78,5.69,5.76,,,,,,,,,
E12000002,North West,E07000029,Copeland,1.74,1.95,2.48,3.05,3.41,3.29,3.32,3.23,3.50,3.59,3.18,3.00,3.00,2.95,3.24,2.97,2.76,,,,,,,,,
E12000002,North West,E07000030,Eden,4.94,6.18,9.32,8.78,8.92,8.72,8.25,9.02,9.23,8.11,7.79,6.72,7.67,7.68,7.63,7.37,8.35,,,,,,,,,
E12000002,North West,E07000031,South Lakeland,5.27,6.59,7.33,8.05,8.53,8.65,8.79,7.47,7.97,8.26,7.85,7.24,7.58,8.05,7.35,8.04,7.65,,,,,,,,,
E12000002,North West,E08000001,Bolton,2.96,3.23,4.09,4.79,5.50,5.42,5.33,4.71,4.93,4.68,4.63,4.63,4.96,5.00,5.04,5.21,5.31,,,,,,,,,
E12000002,North West,E08000002,Bury,3.24,3.72,4.40,5.11,5.43,5.36,5.10,4.84,4.92,4.62,4.76,4.72,5.04,5.27,5.34,5.70,5.57,,,,,,,,,
E12000002,North West,E08000003,Manchester,3.75,4.04,4.90,5.56,6.27,6.21,5.92,5.22,5.40,5.65,5.15,5.06,5.49,5.63,6.12,6.43,6.63,,,,,,,,,
E12000002,North West,E08000004,Oldham,2.89,3.23,3.76,4.50,5.04,5.31,5.32,4.89,5.13,4.74,4.85,4.98,5.01,5.14,5.07,5.10,5.20,,,,,,,,,
E12000002,North West,E08000005,Rochdale,2.93,3.29,3.99,4.52,4.81,5.14,4.76,4.20,4.66,4.50,4.55,4.82,5.10,5.17,5.12,5.18,5.23,,,,,,,,,
E12000002,North West,E08000006,Salford,2.93,3.67,4.51,5.06,5.32,5.66,5.49,5.03,4.89,4.86,4.70,4.85,4.97,5.14,5.35,6.13,6.20,,,,,,,,,
E12000002,North West,E08000007,Stockport,4.44,5.40,6.13,6.33,6.38,6.35,6.79,5.96,6.17,6.17,5.98,5.85,6.08,6.55,6.92,7.06,7.13,,,,,,,,,
E12000002,North West,E08000008,Tameside,2.95,3.65,4.44,4.87,5.58,5.90,5.59,4.83,5.04,5.03,4.62,4.88,5.29,5.32,5.44,5.56,5.74,,,,,,,,,
E12000002,North West,E08000009,Trafford,5.18,5.92,6.42,6.70,6.86,6.71,6.60,6.24,6.43,6.51,6.15,6.24,6.67,6.99,6.75,7.72,7.73,,,,,,,,,
E12000002,North West,E08000010,Wigan,2.95,3.48,4.40,4.74,5.23,5.41,5.18,4.75,4.79,4.58,4.62,4.28,4.70,4.70,4.61,4.82,5.00,,,,,,,,,
E12000002,North West,E07000117,Burnley,1.64,1.58,2.00,2.24,3.00,3.86,3.71,3.61,3.54,3.49,3.31,3.12,3.77,3.45,3.69,3.68,3.61,,,,,,,,,
E12000002,North West,E07000118,Chorley,3.77,4.47,5.82,5.99,6.08,6.09,5.95,5.73,6.21,6.06,5.83,6.28,6.16,6.25,5.93,6.26,5.47,,,,,,,,,
E12000002,North West,E07000119,Fylde,3.90,4.77,5.92,6.18,7.17,6.75,6.10,5.82,5.86,5.47,5.60,5.72,5.40,7.22,7.04,6.56,5.94,,,,,,,,,
E12000002,North West,E07000120,Hyndburn,2.40,2.40,3.42,3.90,4.55,5.02,5.05,4.00,3.92,3.73,4.22,4.13,3.97,4.01,4.25,4.01,4.42,,,,,,,,,
E12000002,North West,E07000121,Lancaster,2.94,3.84,4.71,5.35,5.50,5.26,5.37,4.87,5.26,4.78,5.27,4.55,4.90,5.31,5.45,5.47,5.74,,,,,,,,,
E12000002,North West,E07000122,Pendle,2.18,2.31,2.96,3.20,3.90,4.55,4.31,3.98,3.92,3.77,3.75,3.74,3.70,3.70,3.94,4.04,3.78,,,,,,,,,
E12000002,North West,E07000123,Preston,3.01,3.34,4.67,5.45,6.24,5.87,5.58,4.95,5.41,5.12,5.39,5.42,5.45,5.38,5.25,5.76,5.52,,,,,,,,,
E12000002,North West,E07000124,Ribble Valley,4.05,5.46,6.59,6.60,7.66,7.38,7.30,6.49,7.25,7.08,6.79,6.78,6.66,7.16,7.36,7.69,6.78,,,,,,,,,
E12000002,North West,E07000125,Rossendale,2.94,3.34,4.13,4.74,4.75,5.41,4.83,4.72,5.11,4.50,4.38,4.88,5.12,5.15,5.12,5.56,5.20,,,,,,,,,
E12000002,North West,E07000126,South Ribble,3.58,4.50,5.76,6.01,5.92,6.06,5.58,5.44,5.71,5.63,5.42,5.43,5.72,5.87,5.77,5.79,5.82,,,,,,,,,
E12000002,North West,E07000127,West Lancashire,4.09,4.88,5.88,6.07,6.23,6.40,6.46,6.48,6.48,5.89,6.32,6.25,6.59,6.46,6.48,6.33,6.20,,,,,,,,,
E12000002,North West,E07000128,Wyre,3.91,4.46,5.36,5.91,6.17,7.51,6.44,6.48,6.38,5.91,4.98,5.25,5.49,5.13,5.89,5.93,6.12,,,,,,,,,
E12000002,North West,E08000011,Knowsley,3.57,3.75,5.06,6.00,6.06,5.56,5.59,4.75,4.72,4.53,4.55,4.72,4.66,4.95,4.77,4.88,4.99,,,,,,,,,
E12000002,North West,E08000012,Liverpool,3.12,3.48,4.50,4.91,5.46,5.60,5.24,4.95,4.79,4.64,4.68,4.50,4.45,4.67,4.62,4.77,4.79,,,,,,,,,
E12000002,North West,E08000014,Sefton,4.05,4.78,5.90,5.99,6.57,6.48,6.19,6.24,6.27,5.93,5.56,5.33,5.80,6.02,6.21,6.03,5.78,,,,,,,,,
E12000002,North West,E08000013,St. Helens,3.43,3.75,4.76,5.41,5.57,5.85,5.26,4.70,4.77,4.31,4.37,4.44,4.94,4.57,4.92,5.23,5.10,,,,,,,,,
E12000002,North West,E08000015,Wirral,3.47,4.01,4.90,5.08,5.63,5.97,5.80,5.22,5.18,5.28,5.29,5.05,5.08,5.05,5.32,5.62,5.82,,,,,,,,,
